Item Fat Content,Item Type,Item_MRP,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Rating,Item_Outlet_Sales,Total Sales
Low Fat,Soft Drinks,225.6088,Tier 3,Medium,Supermarket Type3,0.078589629,4.3,4250.4672,113.286
Low Fat,Soft Drinks,117.615,Tier 3,Medium,Supermarket Type3,0.072928316,4.3,1514.695,94.412
Low Fat,Soft Drinks,115.0492,Tier 3,Medium,Supermarket Type3,0.023463124,4.3,4054.722,190.6846
Low Fat,Soft Drinks,178.5318,Tier 3,Medium,Supermarket Type3,0.037006076,4.3,3067.3406,164.7526
Low Fat,Soft Drinks,104.828,Tier 3,Medium,Supermarket Type3,0.114609875,4.3,2343.616,197.0084
Regular,Breads,52.064,Tier 3,Medium,Supermarket Type3,0.075142108,4.3,852.224,145.8444
Regular,Breads,192.8846,Tier 3,Medium,Supermarket Type3,0.04368089,4.3,5350.3688,110.157
Regular,Breads,179.9002,Tier 3,Medium,Supermarket Type3,0.022170592,4.3,4119.3046,105.199
Regular,Canned,141.7154,Tier 3,Medium,Supermarket Type3,0,4.3,425.4462,100.3674
Regular,Canned,119.8124,Tier 3,Medium,Supermarket Type3,0.011937183,4.3,2133.2232,184.7924
Regular,Frozen Foods,215.0876,Tier 3,Medium,Supermarket Type3,0.024088444,4.3,5145.3024,112.7176
Regular,Frozen Foods,62.7826,Tier 3,Medium,Supermarket Type3,0.086837543,4.3,1162.4868,106.2306
Regular,Fruits and Vegetables,53.6614,Tier 3,Medium,Supermarket Type3,0.049842613,4.3,165.7842,164.2526
Regular,Fruits and Vegetables,222.0114,Tier 3,Medium,Supermarket Type3,0.086983591,4.3,3547.3824,219.8456
Regular,Fruits and Vegetables,123.1756,Tier 3,Medium,Supermarket Type3,0.053586458,4.3,1211.756,89.7856
Regular,Meat,162.4552,Tier 3,Medium,Supermarket Type3,0.026949463,4.3,2274.3728,197.711
Regular,Meat,177.237,Tier 3,Medium,Supermarket Type3,0.178210285,4.3,4763.799,95.7752
Regular,Snack Foods,238.188,Tier 3,Medium,Supermarket Type3,0.087894475,4.3,5033.448,121.173
Regular,Snack Foods,65.0142,Tier 3,Medium,Supermarket Type3,0.025795293,4.3,1120.5414,80.2302
Regular,Snack Foods,144.3444,Tier 3,Medium,Supermarket Type3,0.039031927,4.3,2612.5992,95.641
Regular,Soft Drinks,168.3474,Tier 3,Medium,Supermarket Type3,0.112119359,4.3,4548.0798,123.0388
Low Fat,Fruits and Vegetables,173.7422,Tier 3,High,Supermarket Type1,0.0680243,4.2,5863.0348,196.4426
Regular,Snack Foods,127.9678,Tier 3,High,Supermarket Type1,0.138190277,4.2,254.3356,250.8724
Low Fat,Health and Hygiene,108.9254,Tier 3,Medium,Supermarket Type2,0.080829372,4.2,2713.135,96.4436
Low Fat,Meat,54.0272,Tier 3,High,Supermarket Type1,0.02681843,4.2,447.4176,126.002
Low Fat,Frozen Foods,86.2882,Tier 3,High,Supermarket Type1,0.159803853,4.2,1631.8758,141.5154
Regular,Snack Foods,241.3512,Tier 1,Small,Supermarket Type1,0.123115764,4.2,5331.7264,95.6436
Regular,Meat,146.4734,Tier 1,Small,Grocery Store,0.064625342,4.2,3563.3616,176.937
LF,Soft Drinks,116.0176,Tier 2,Small,Supermarket Type1,0.063017847,4.2,1603.2464,159.0578
Low Fat,Soft Drinks,121.973,Tier 1,Small,Supermarket Type1,0.183507295,4.2,2709.806,82.4276
Low Fat,Frozen Foods,239.8538,Tier 3,Small,Grocery Store,0.009163216,4.2,4086.0146,101.7016
Low Fat,Household,245.3828,Tier 2,Small,Supermarket Type1,0.048331717,4.2,1705.7796,105.1622
Regular,Frozen Foods,153.7972,Tier 2,Small,Supermarket Type1,0,4.2,1402.1748,53.064
Regular,Snack Foods,195.2478,Tier 3,High,Supermarket Type1,0.04192285,4.2,7168.6686,54.764
Low Fat,Health and Hygiene,159.9578,Tier 1,Small,Grocery Store,0.128478462,4.2,962.7468,117.944
Regular,Snack Foods,37.319,Tier 3,Medium,Supermarket Type2,0.045165796,4.2,1281.665,100.0016
Regular,Fruits and Vegetables,107.228,Tier 2,Small,Supermarket Type1,0.050186726,4.2,426.112,164.1526
Low Fat,Dairy,176.337,Tier 2,Small,Supermarket Type1,0.058091482,4.2,1764.37,245.1802
Regular,Snack Foods,93.7436,Tier 2,Small,Supermarket Type1,0,4.2,1701.7848,263.7568
Low Fat,Dairy,255.433,Tier 2,Small,Supermarket Type1,0.087977262,4.2,4357.661,229.0668
Regular,Meat,146.9102,Tier 2,Small,Supermarket Type1,0.076276208,4.2,3207.8244,110.9202
Low Fat,Frozen Foods,38.119,Tier 3,High,Supermarket Type1,0.056245075,4.2,732.38,43.3454
Low Fat,Hard Drinks,173.308,Tier 2,Small,Supermarket Type1,0.141398626,4.2,6751.212,250.5382
Low Fat,Frozen Foods,77.567,Tier 2,Small,Supermarket Type1,0.139735226,4.2,306.268,147.5392
reg,Breakfast,241.2512,Tier 2,Small,Supermarket Type1,0.095102092,4.2,8239.9408,104.4332
Low Fat,Snack Foods,97.241,Tier 1,Small,Grocery Store,0.09246392,4.2,193.082,190.9504
Regular,Breads,53.3982,Tier 2,Small,Supermarket Type1,0.063993068,4.2,1209.7586,260.4594
Low Fat,Dairy,155.9314,Tier 1,Small,Supermarket Type1,0.058346939,4.2,3878.285,142.2128
Low Fat,Health and Hygiene,190.8162,Tier 1,Small,Grocery Store,0.053392944,4.2,2693.8268,193.8162
Low Fat,Baking Goods,43.277,Tier 1,Small,Grocery Store,0.065652494,4.2,649.155,48.9034
Regular,Starchy Foods,199.0742,Tier 2,Small,Supermarket Type1,0.017627888,4.2,4777.7808,239.6538
Low Fat,Dairy,86.9514,Tier 2,Small,Supermarket Type1,0.017191055,4.2,1416.8224,51.535
Regular,Dairy,140.4812,Tier 1,Medium,Supermarket Type1,0.047565208,4.2,2422.1804,213.4876
Low Fat,Fruits and Vegetables,263.1884,Tier 1,Small,Supermarket Type1,0.022604051,4.2,2914.8724,181.4318
Low Fat,Dairy,197.6084,Tier 3,High,Supermarket Type1,0,4.2,2380.9008,45.9428
Low Fat,Dairy,222.3772,Tier 3,Medium,Supermarket Type3,0.089035961,4.2,1556.6404,260.5594
Regular,Snack Foods,230.001,Tier 1,Medium,Supermarket Type1,0.012282366,4.2,689.103,132.5284
Low Fat,Frozen Foods,31.9558,Tier 1,Small,Supermarket Type1,0.127541722,4.2,373.5138,84.9224
Low Fat,Snack Foods,91.583,Tier 3,Small,Grocery Store,0.05837308,4.2,539.298,243.9828
Low Fat,Baking Goods,114.8834,Tier 3,Medium,Supermarket Type2,0,4.2,1612.5676,43.6744
Regular,Fruits and Vegetables,141.418,Tier 3,Medium,Supermarket Type2,0.043333912,4.2,559.272,201.0742
Regular,Baking Goods,181.466,Tier 3,High,Supermarket Type1,0.082197959,4.2,179.766,49.2034
Regular,Canned,125.2678,Tier 1,Small,Grocery Store,0,4.2,763.0068,160.692
Regular,Fruits and Vegetables,189.9872,Tier 1,Medium,Supermarket Type1,0.035205866,4.2,756.3488,171.3448
Low Fat,Snack Foods,44.7744,Tier 1,Small,Grocery Store,0.051778173,4.2,181.0976,157.892
LF,Health and Hygiene,188.6214,Tier 1,Small,Supermarket Type1,0.052054819,4.2,6029.4848,189.1846
Low Fat,Snack Foods,126.8994,Tier 3,Medium,Supermarket Type3,0.053795154,4.2,3083.9856,117.7466
Low Fat,Fruits and Vegetables,56.293,Tier 2,Small,Supermarket Type1,0.148492521,4.2,113.186,240.6854
Low Fat,Household,73.4696,Tier 1,Small,Supermarket Type1,0.014301326,4.2,2087.9488,103.0332
Low Fat,Fruits and Vegetables,179.7976,Tier 2,Medium,Supermarket Type1,0.111298111,4.2,2535.3664,191.7846
Low Fat,Dairy,148.4392,Tier 1,Medium,Supermarket Type1,0.044995631,4.2,1789.6704,89.2198
Regular,Meat,234.6616,Tier 1,Medium,Supermarket Type1,0.023567538,4.2,4687.232,226.8404
Low Fat,Household,229.5694,Tier 1,Small,Grocery Store,0.164864915,4.2,3425.541,255.2698
Low Fat,Canned,110.7228,Tier 1,Small,Supermarket Type1,0.013263968,4.2,1657.842,106.9254
Low Fat,Baking Goods,184.0292,Tier 1,Small,Supermarket Type1,0.047187038,4.2,3101.2964,100.6016
Low Fat,Canned,63.2536,Tier 1,Small,Supermarket Type1,0.082552214,4.2,1347.5792,179.8002
Low Fat,Hard Drinks,102.399,Tier 1,Medium,Supermarket Type1,0.072088552,4.2,2270.378,253.704
Regular,Fruits and Vegetables,172.3448,Tier 3,Medium,Supermarket Type3,0.013529884,4.2,2556.672,106.2596
Low Fat,Dairy,170.5764,Tier 3,High,Supermarket Type1,0.049823902,4.2,3779.0808,82.225
Low Fat,Frozen Foods,90.0514,Tier 2,Medium,Supermarket Type1,0.026046138,4.2,1505.3738,147.2076
Low Fat,Snack Foods,36.7848,Tier 2,Medium,Supermarket Type1,0.037014587,4.2,782.9808,115.1834
Regular,Baking Goods,241.1538,Tier 3,Medium,Supermarket Type3,0.024776026,4.2,480.7076,172.3422
Low Fat,Snack Foods,173.5738,Tier 2,Small,Supermarket Type1,0.093653464,4.2,1911.5118,113.3834
Low Fat,Household,127.2994,Tier 2,Medium,Supermarket Type1,0.01430324,4.2,642.497,57.2614
Low Fat,Health and Hygiene,185.2608,Tier 3,Medium,Supermarket Type2,0.024482644,4.2,1470.0864,116.2492
Regular,Fruits and Vegetables,161.792,Tier 3,Medium,Supermarket Type3,0.058142797,4.2,159.792,162.1552
Regular,Dairy,235.3958,Tier 3,High,Supermarket Type1,0.072334667,4.2,6309.7866,49.1692
Regular,Fruits and Vegetables,38.4848,Tier 3,Medium,Supermarket Type3,0.109459733,4.2,633.8416,84.1592
Low Fat,Household,112.6176,Tier 1,Small,Supermarket Type1,0.013120028,4.2,3091.9752,217.6192
Low Fat,Soft Drinks,109.1912,Tier 3,Medium,Grocery Store,0,4.2,1637.868,32.89
Low Fat,Household,37.219,Tier 3,Medium,Supermarket Type2,0.071282168,4.2,805.618,74.4696
Low Fat,Health and Hygiene,162.6868,Tier 3,High,Supermarket Type1,0.064367627,4.2,3767.0964,126.1704
Regular,Frozen Foods,175.337,Tier 3,Medium,Supermarket Type3,0.13093275,4.2,529.311,86.9198
Low Fat,Fruits and Vegetables,39.3506,Tier 3,High,Supermarket Type1,0.064621927,4.2,645.1602,196.6794
Low Fat,Household,40.1164,Tier 2,Medium,Supermarket Type1,0.024701262,4.2,849.5608,176.8686
Low Fat,Snack Foods,191.353,Tier 2,Small,Supermarket Type1,0.107376743,4.2,1328.271,147.6076
Low Fat,Health and Hygiene,98.8358,Tier 1,Small,Supermarket Type1,0.054990009,4.2,2010.716,35.2874
Low Fat,Snack Foods,196.5084,Tier 3,Medium,Grocery Store,0.050111641,4.2,4364.9848,165.9816
LF,Fruits and Vegetables,79.6302,Tier 1,Medium,Supermarket Type1,0.042626422,4.2,792.302,227.072
LF,Household,55.7298,Tier 1,Medium,Supermarket Type1,0,4.2,2804.3496,53.2614
Low Fat,Baking Goods,240.3564,Tier 1,Medium,Supermarket Type1,0.103138922,4.2,4290.4152,141.747
Low Fat,Baking Goods,38.1848,Tier 1,Medium,Supermarket Type1,0.047260402,4.2,37.2848,102.8016
Low Fat,Baking Goods,157.763,Tier 1,Medium,Supermarket Type1,0.055015935,4.2,2659.871,194.3452
Low Fat,Baking Goods,184.624,Tier 1,Medium,Supermarket Type1,0.021464454,4.2,5406.296,156.6288
Low Fat,Breads,85.5566,Tier 1,Medium,Supermarket Type1,0.046447328,4.2,930.1226,121.5414
Low Fat,Canned,229.2694,Tier 1,Medium,Supermarket Type1,0.037457098,4.2,1826.9552,83.4224
Low Fat,Canned,115.4176,Tier 1,Medium,Supermarket Type1,0.122684413,4.2,1145.176,132.2942
Low Fat,Dairy,112.0202,Tier 1,Medium,Supermarket Type1,0.137023446,4.2,3150.5656,263.7568
Low Fat,Dairy,83.7566,Tier 1,Medium,Supermarket Type1,0.058192802,4.2,253.6698,246.9802
Low Fat,Dairy,112.7886,Tier 1,Medium,Supermarket Type1,0.055519561,4.2,1779.0176,219.8114
Low Fat,Dairy,92.7146,Tier 1,Medium,Supermarket Type1,0.097367722,4.2,1185.7898,89.3856
Low Fat,Frozen Foods,233.9958,Tier 1,Medium,Supermarket Type1,0.083327693,4.2,467.3916,247.2776
Low Fat,Frozen Foods,78.1644,Tier 1,Medium,Supermarket Type1,0.015131684,4.2,1414.1592,83.025
Low Fat,Frozen Foods,151.1024,Tier 1,Medium,Supermarket Type1,0.038014104,4.2,1518.024,62.351
Low Fat,Frozen Foods,146.1786,Tier 1,Medium,Supermarket Type1,0.052637056,4.2,3034.0506,88.583
Low Fat,Frozen Foods,93.2094,Tier 1,Medium,Supermarket Type1,0.16871476,4.2,666.4658,47.306
Low Fat,Fruits and Vegetables,89.0488,Tier 1,Medium,Supermarket Type1,0.035409328,4.2,181.0976,36.2506
Low Fat,Fruits and Vegetables,105.6964,Tier 1,Medium,Supermarket Type1,0.072994847,4.2,210.3928,189.253
Low Fat,Fruits and Vegetables,152.9366,Tier 1,Medium,Supermarket Type1,0.076975118,4.2,1662.5026,46.2086
Low Fat,Fruits and Vegetables,144.6102,Tier 1,Medium,Supermarket Type1,0.174644552,4.2,3791.0652,113.2834
Low Fat,Fruits and Vegetables,78.7618,Tier 1,Medium,Supermarket Type1,0.049396364,4.2,402.809,146.4734
Low Fat,Hard Drinks,82.425,Tier 1,Medium,Supermarket Type1,0.010781158,4.2,749.025,149.9392
Low Fat,Hard Drinks,121.444,Tier 1,Medium,Supermarket Type1,0.140821917,4.2,2516.724,252.9382
Low Fat,Health and Hygiene,214.0218,Tier 1,Medium,Supermarket Type1,0.052121825,4.2,5556.7668,104.828
Low Fat,Household,65.5168,Tier 1,Medium,Supermarket Type1,0.033160417,4.2,1022.6688,119.6124
Low Fat,Household,174.9054,Tier 1,Medium,Supermarket Type1,0.041291929,4.2,525.3162,130.131
Low Fat,Meat,196.2768,Tier 1,Medium,Supermarket Type1,0.058181585,4.2,1576.6144,154.4314
Low Fat,Meat,194.611,Tier 1,Medium,Supermarket Type1,0.046707264,4.2,392.822,152.6682
Low Fat,Snack Foods,187.6556,Tier 1,Medium,Supermarket Type1,0.039553606,4.2,5257.1568,99.1042
Low Fat,Snack Foods,111.1886,Tier 1,Medium,Supermarket Type1,0.065350715,4.2,4447.544,175.437
Low Fat,Snack Foods,190.4214,Tier 1,Medium,Supermarket Type1,0.074460855,4.2,5652.642,253.6724
Low Fat,Snack Foods,177.5344,Tier 1,Medium,Supermarket Type1,0.107564024,4.2,3033.3848,149.0076
Low Fat,Snack Foods,35.2558,Tier 1,Medium,Supermarket Type1,0.029785889,4.2,780.9834,38.9822
Low Fat,Snack Foods,115.8466,Tier 1,Medium,Supermarket Type1,0.045117476,4.2,2474.7786,187.9556
Low Fat,Snack Foods,50.8008,Tier 1,Medium,Supermarket Type1,0.075311837,4.2,101.2016,122.6046
Low Fat,Snack Foods,152.4366,Tier 1,Medium,Supermarket Type1,0.047964395,4.2,3929.5516,185.0898
Low Fat,Snack Foods,36.8874,Tier 1,Medium,Supermarket Type1,0.128289285,4.2,564.5984,104.9622
Low Fat,Snack Foods,248.0092,Tier 1,Medium,Supermarket Type1,0.067039526,4.2,1245.046,178.337
Low Fat,Soft Drinks,151.8024,Tier 1,Medium,Supermarket Type1,0.035999599,4.2,151.8024,41.5138
Low Fat,Soft Drinks,103.999,Tier 1,Medium,Supermarket Type1,0.073397129,4.2,825.592,91.912
Regular,Baking Goods,179.566,Tier 1,Medium,Supermarket Type1,0.030198228,4.2,2696.49,98.2384
Regular,Breads,122.973,Tier 1,Medium,Supermarket Type1,0.081794766,4.2,1231.73,173.6054
Regular,Breads,53.5614,Tier 1,Medium,Supermarket Type1,0.063962842,4.2,939.4438,263.1594
Regular,Canned,105.3306,Tier 1,Medium,Supermarket Type1,0.027653795,4.2,2090.612,88.0856
Regular,Dairy,175.8054,Tier 1,Medium,Supermarket Type1,0.042685217,4.2,2801.6864,120.7782
Regular,Dairy,89.5514,Tier 1,Medium,Supermarket Type1,0.045534457,4.2,3364.9532,146.3102
Regular,Frozen Foods,213.956,Tier 1,Medium,Supermarket Type1,0.030294931,4.2,2343.616,104.099
Regular,Frozen Foods,164.1526,Tier 1,Medium,Supermarket Type1,0.137858955,4.2,1808.9786,162.1236
Regular,Frozen Foods,197.9084,Tier 1,Medium,Supermarket Type1,0.025936747,4.2,992.042,164.921
Regular,Frozen Foods,241.8538,Tier 1,Medium,Supermarket Type1,0.019965179,4.2,5768.4912,130.531
Regular,Frozen Foods,106.0596,Tier 1,Medium,Supermarket Type1,0.042542484,4.2,970.7364,161.921
Regular,Fruits and Vegetables,176.8344,Tier 1,Medium,Supermarket Type1,0.035311852,4.2,3568.688,160.9578
Regular,Fruits and Vegetables,120.0414,Tier 1,Medium,Supermarket Type1,0.024987903,4.2,3533.4006,97.341
Regular,Fruits and Vegetables,180.7976,Tier 1,Medium,Supermarket Type1,0.016622448,4.2,6157.3184,50.2034
Regular,Fruits and Vegetables,198.9768,Tier 1,Medium,Supermarket Type1,0.021490911,4.2,4729.8432,122.1098
Regular,Fruits and Vegetables,260.6278,Tier 1,Medium,Supermarket Type1,0.028167478,4.2,9371.8008,45.5744
Regular,Fruits and Vegetables,81.7276,Tier 1,Medium,Supermarket Type1,0.059894378,4.2,1949.4624,125.9678
Regular,Meat,231.8984,Tier 1,Medium,Supermarket Type1,0.179355893,4.2,4633.968,94.1752
Regular,Meat,182.695,Tier 1,Medium,Supermarket Type1,0.022093019,4.2,4211.185,195.9452
Regular,Meat,121.673,Tier 1,Medium,Supermarket Type1,0.096249842,4.2,1970.768,134.4942
Regular,Snack Foods,199.5084,Tier 1,Medium,Supermarket Type1,0.134919202,4.2,3372.9428,46.9402
Regular,Snack Foods,50.8324,Tier 1,Medium,Supermarket Type1,0.072990979,4.2,934.7832,121.6098
Regular,Starchy Foods,224.0404,Tier 1,Medium,Supermarket Type1,0.017658634,4.2,3375.606,240.1538
Regular,Starchy Foods,138.6838,Tier 1,Medium,Supermarket Type1,0.135306012,4.2,2388.2246,183.7924
low fat,Baking Goods,193.3794,Tier 1,Medium,Supermarket Type1,0,4.2,780.3176,156.4604
low fat,Household,102.2332,Tier 1,Medium,Supermarket Type1,0.029054046,4.2,102.5332,144.6786
LF,Snack Foods,95.3094,Tier 1,Small,Grocery Store,0.213125482,4.2,1713.7692,44.9428
Low Fat,Baking Goods,178.7344,Tier 1,Small,Grocery Store,0.177354373,4.2,1605.9096,46.6744
Low Fat,Baking Goods,238.5222,Tier 1,Small,Grocery Store,0.166609517,4.2,717.0666,157.6604
Low Fat,Baking Goods,57.1614,Tier 1,Small,Grocery Store,0.099681705,4.2,1381.535,107.4622
Low Fat,Breads,106.2596,Tier 1,Small,Grocery Store,0.143199389,4.2,215.7192,175.837
Low Fat,Canned,98.0726,Tier 1,Small,Grocery Store,0.137539574,4.2,1076.5986,38.8506
Low Fat,Canned,170.6422,Tier 1,Small,Grocery Store,0.018275994,4.2,2931.5174,115.2808
Low Fat,Canned,170.0474,Tier 1,Small,Grocery Store,0.031069203,4.2,4211.185,179.6686
Low Fat,Canned,165.85,Tier 1,Small,Grocery Store,0.052749199,4.2,1830.95,74.967
Low Fat,Frozen Foods,55.1614,Tier 1,Small,Grocery Store,0,4.2,939.4438,98.241
Low Fat,Health and Hygiene,108.1912,Tier 1,Small,Grocery Store,0.135612397,4.2,1856.2504,61.1536
Low Fat,Health and Hygiene,114.1492,Tier 1,Small,Grocery Store,0.104784329,4.2,115.8492,266.0226
Low Fat,Health and Hygiene,209.027,Tier 1,Small,Grocery Store,0.135226962,4.2,4613.994,56.293
Low Fat,Household,143.547,Tier 1,Small,Grocery Store,0.196659953,4.2,1431.47,125.8046
Low Fat,Meat,122.1072,Tier 1,Small,Grocery Store,0.066351687,4.2,490.0288,65.0826
Low Fat,Meat,31.89,Tier 1,Small,Grocery Store,0.255929096,4.2,366.19,103.3648
Low Fat,Snack Foods,34.4558,Tier 1,Small,Grocery Store,0.027610698,4.2,611.2044,149.5366
Low Fat,Soft Drinks,86.254,Tier 1,Small,Grocery Store,0.068153091,4.2,2163.85,36.019
Low Fat,Soft Drinks,46.5376,Tier 1,Small,Grocery Store,0.124448295,4.2,575.2512,112.0518
Low Fat,Soft Drinks,247.8092,Tier 1,Small,Grocery Store,0.072864869,4.2,498.0184,165.2526
Regular,Canned,46.3718,Tier 1,Small,Grocery Store,0.081955735,4.2,661.8052,142.0838
Regular,Dairy,189.1872,Tier 1,Small,Grocery Store,0.168901843,4.2,5294.4416,43.4086
Regular,Frozen Foods,82.3618,Tier 1,Small,Grocery Store,0.080697998,4.2,1208.427,39.8506
Regular,Frozen Foods,40.3454,Tier 1,Small,Grocery Store,0.26639671,4.2,838.908,215.6218
Regular,Fruits and Vegetables,39.6796,Tier 1,Small,Grocery Store,0.278730642,4.2,660.4736,63.2194
Regular,Fruits and Vegetables,156.6288,Tier 1,Small,Grocery Store,0.185008985,4.2,3928.22,42.3796
Regular,Fruits and Vegetables,113.986,Tier 1,Small,Grocery Store,0.11173569,4.2,452.744,115.9492
Regular,Fruits and Vegetables,155.163,Tier 1,Small,Grocery Store,0.078758649,4.2,782.315,116.3808
Regular,Fruits and Vegetables,151.9024,Tier 1,Small,Grocery Store,0.076434542,4.2,2580.6408,155.8946
Regular,Meat,100.8332,Tier 1,Small,Grocery Store,0.133279499,4.2,1537.998,112.6202
Regular,Snack Foods,120.9098,Tier 1,Small,Grocery Store,0.036551446,4.2,1687.1372,62.7194
LF,Canned,206.6296,Tier 1,Small,Supermarket Type1,0.153618566,4.2,3115.944,79.6986
LF,Household,128.8968,Tier 1,Small,Supermarket Type1,0.016993204,4.2,2348.9424,95.741
LF,Meat,263.591,Tier 1,Small,Supermarket Type1,0.146172453,4.2,262.991,103.3648
Low Fat,Baking Goods,207.8954,Tier 1,Small,Supermarket Type1,0.102978817,4.2,3542.7218,144.947
Low Fat,Breads,215.2218,Tier 1,Small,Supermarket Type1,0.140889111,4.2,4701.8796,127.0994
Low Fat,Breads,110.3228,Tier 1,Small,Supermarket Type1,0.020697723,4.2,1768.3648,198.8742
Low Fat,Canned,35.7216,Tier 1,Small,Supermarket Type1,0.047782959,4.2,519.324,249.1092
Low Fat,Canned,111.8544,Tier 1,Small,Supermarket Type1,0.011261165,4.2,1677.816,189.5188
Low Fat,Canned,166.3526,Tier 1,Small,Supermarket Type1,0.078168739,4.2,164.4526,91.3804
Low Fat,Frozen Foods,219.8114,Tier 1,Small,Supermarket Type1,0.054986919,4.2,1108.557,108.6254
Low Fat,Frozen Foods,133.2284,Tier 1,Small,Supermarket Type1,0.082011521,4.2,4350.3372,213.3534
Low Fat,Frozen Foods,76.7328,Tier 1,Small,Supermarket Type1,0.015460726,4.2,1312.9576,211.8928
Low Fat,Frozen Foods,35.019,Tier 1,Small,Supermarket Type1,0.039824346,4.2,659.142,32.8558
Low Fat,Frozen Foods,37.9506,Tier 1,Small,Supermarket Type1,0.05629192,4.2,910.8144,42.5454
Low Fat,Frozen Foods,218.3482,Tier 1,Small,Supermarket Type1,0.016611475,4.2,2409.5302,122.0098
Low Fat,Fruits and Vegetables,145.1418,Tier 1,Small,Supermarket Type1,0.120543611,4.2,2648.5524,45.806
Low Fat,Hard Drinks,106.028,Tier 1,Small,Supermarket Type1,0.05843345,4.2,1065.28,74.738
Low Fat,Health and Hygiene,53.764,Tier 1,Small,Supermarket Type1,0.07113587,4.2,798.96,42.7086
Low Fat,Health and Hygiene,145.2102,Tier 1,Small,Supermarket Type1,0.11227101,4.2,3062.0142,63.2168
Low Fat,Health and Hygiene,191.8478,Tier 1,Small,Supermarket Type1,0.052209303,4.2,774.9912,122.373
Low Fat,Health and Hygiene,262.8936,Tier 1,Small,Supermarket Type1,0.027714371,4.2,4958.8784,65.6168
Low Fat,Health and Hygiene,173.1396,Tier 1,Small,Supermarket Type1,0.025130632,4.2,697.7584,150.0734
Low Fat,Household,196.9426,Tier 1,Small,Supermarket Type1,0.118674359,4.2,2768.3964,261.691
Low Fat,Household,185.1924,Tier 1,Small,Supermarket Type1,0.013130031,4.2,2591.2936,142.6154
Low Fat,Household,127.3362,Tier 1,Small,Supermarket Type1,0.013179388,4.2,755.0172,55.1614
Low Fat,Household,50.9008,Tier 1,Small,Supermarket Type1,0.02859825,4.2,354.2056,150.4708
Low Fat,Household,120.544,Tier 1,Small,Supermarket Type1,0.029445361,4.2,479.376,257.6646
Low Fat,Household,94.1436,Tier 1,Small,Supermarket Type1,0.027579198,4.2,1607.2412,178.7344
Low Fat,Household,74.6354,Tier 1,Small,Supermarket Type1,0.058935522,4.2,1053.2956,246.646
Low Fat,Meat,99.7016,Tier 1,Small,Supermarket Type1,0.07962861,4.2,1922.8304,63.4826
Low Fat,Meat,153.4682,Tier 1,Small,Supermarket Type1,0.027064381,4.2,1677.1502,76.367
Low Fat,Meat,100.8016,Tier 1,Small,Supermarket Type1,0.058091269,4.2,1113.2176,156.2314
Low Fat,Others,77.5012,Tier 1,Small,Supermarket Type1,0.120280989,4.2,1518.024,142.747
Low Fat,Snack Foods,92.3462,Tier 1,Small,Supermarket Type1,0.041921462,4.2,2406.2012,92.3462
Low Fat,Snack Foods,173.0422,Tier 1,Small,Supermarket Type1,0.056830682,4.2,2069.3064,214.0218
Low Fat,Snack Foods,173.7422,Tier 1,Small,Supermarket Type1,0.044463491,4.2,3621.2862,127.102
Low Fat,Snack Foods,207.0638,Tier 1,Small,Supermarket Type1,0.03901099,4.2,4969.5312,147.7418
Low Fat,Snack Foods,123.6046,Tier 1,Small,Supermarket Type1,0.118102769,4.2,1245.046,224.8088
Low Fat,Soft Drinks,236.5564,Tier 1,Small,Supermarket Type1,0.081787519,4.2,5243.8408,120.844
Regular,Baking Goods,51.3324,Tier 1,Small,Supermarket Type1,0.04688734,4.2,934.7832,107.957
Regular,Baking Goods,39.2848,Tier 1,Small,Supermarket Type1,0.062528426,4.2,521.9872,166.9184
Regular,Baking Goods,253.0356,Tier 1,Small,Supermarket Type1,0.022940826,4.2,4578.0408,241.8538
Regular,Canned,178.3028,Tier 1,Small,Supermarket Type1,0.05272914,4.2,1062.6168,86.4224
Regular,Canned,103.399,Tier 1,Small,Supermarket Type1,0.014626901,4.2,2579.975,207.7638
Regular,Canned,83.9592,Tier 1,Small,Supermarket Type1,0.114565093,4.2,165.1184,112.0202
Regular,Canned,46.1402,Tier 1,Small,Supermarket Type1,0.008191729,4.2,459.402,103.5674
Regular,Canned,167.5158,Tier 1,Small,Supermarket Type1,0.012012071,4.2,1504.0422,163.1184
Regular,Frozen Foods,232.23,Tier 1,Small,Supermarket Type1,0.032454046,4.2,5126.66,144.8102
Regular,Frozen Foods,172.8396,Tier 1,Small,Supermarket Type1,0.036027524,4.2,2616.594,177.2712
Regular,Frozen Foods,37.519,Tier 1,Small,Supermarket Type1,0.135775701,4.2,842.237,54.564
Regular,Frozen Foods,112.4886,Tier 1,Small,Supermarket Type1,0.159728395,4.2,1223.0746,34.3558
Regular,Fruits and Vegetables,152.1366,Tier 1,Small,Supermarket Type1,0.057058545,4.2,755.683,241.7512
Regular,Fruits and Vegetables,109.5254,Tier 1,Small,Supermarket Type1,0.035257037,4.2,1953.4572,161.2578
Regular,Fruits and Vegetables,143.0786,Tier 1,Small,Supermarket Type1,0.113217223,4.2,288.9572,191.1504
Regular,Fruits and Vegetables,176.5054,Tier 1,Small,Supermarket Type1,0.029653914,4.2,2976.7918,140.5838
Regular,Fruits and Vegetables,191.3846,Tier 1,Small,Supermarket Type1,0.046608497,4.2,2675.1844,122.9388
Regular,Meat,84.1908,Tier 1,Small,Supermarket Type1,0.012458143,4.2,755.0172,196.311
